uid,name,score,country,timestamp
F62FADDA,User15765,11,UK,2024-01-21 04:37:42
9B97A6F4,User13307,21,CA,2024-01-18 04:37:42
14718B56,User16040,83,DE,2024-01-16 04:37:42
5F969EE0,User3563,41,MX,2024-01-19 04:37:42
6B3ECD36,User19964,51,US,2024-01-24 04:37:42
DB5EF012,User10285,91,AU,2024-01-17 04:37:42
E43926A2,User14716,13,BR,2024-01-24 04:37:42
4D4A8707,User19971,39,US,2024-01-15 04:37:42
AB18588F,User16962,77,CA,2024-01-18 04:37:42
19009030,User19370,16,BR,2024-01-19 04:37:42
6A0ECCEE,User9587,63,DE,2024-01-16 04:37:42
303621FB,User8595,91,UK,2024-01-16 04:37:42
A8EE9C1A,User16955,63,UK,2024-01-21 04:37:42
F27222EC,User13023,57,AU,2024-01-23 04:37:42
078CD7B7,User17784,31,MX,2024-01-20 04:37:42
B684F517,User4806,67,BR,2024-01-19 04:37:42
CE4E7B5F,User19339,71,FR,2024-01-15 04:37:42
4FFEE3A3,User8811,71,BR,2024-01-18 04:37:42
552D1A16,User6925,33,MX,2024-01-20 04:37:42
F19E3D3D,User11203,37,BR,2024-01-15 04:37:42
AF4E6929,User17501,94,FR,2024-01-17 04:37:42
EA3DA8DA,User4601,59,AU,2024-01-16 04:37:42
0F860AB6,User14314,28,FR,2024-01-19 04:37:42
4205531F,User17419,51,US,2024-01-22 04:37:42
4BD9CBF4,User5667,24,FR,2024-01-17 04:37:42
856C9235,User7109,67,DE,2024-01-24 04:37:42
B1AF8626,User10557,59,IN,2024-01-15 04:37:42
740CF19D,User2873,56,IN,2024-01-16 04:37:42
3BD77AE2,User8701,20,DE,2024-01-23 04:37:42
E5914C3C,User3149,68,AU,2024-01-22 04:37:42
4083767D,User15290,91,DE,2024-01-21 04:37:42
39ED47BF,User19001,34,US,2024-01-19 04:37:42
0B573DE3,User2922,98,JP,2024-01-22 04:37:42
4FF9BD84,User6612,49,IN,2024-01-19 04:37:42
CFF97C79,User1982,33,MX,2024-01-23 04:37:42
1027C076,User13518,16,FR,2024-01-22 04:37:42
